Country,City,Year,AQI_Level,PM2_5,PM10,NO2,CO_Level,Pollution_Source,Air_Quality_Status
France,Toulouse,2024,112,57.64,84.82,42.11,2.89,Power Plants,Poor
Brazil,Salvador,2023,243,140.95,308.87,101.63,7.29,Construction Dust,Very Poor
Germany,Frankfurt,2025,77,37.84,59.77,42.14,2.67,Industrial Pollution,Moderate
Brazil,Brasilia,2020,191,107.23,186.31,107.69,8.18,Vehicle Emissions,Poor
UAE,Abu Dhabi,2026,223,159.58,202.92,99.12,9.16,Burning Waste,Very Poor
Australia,Adelaide,2020,98,70.55,102.21,42.9,4.37,Burning Waste,Moderate
Canada,Montreal,2021,88,62.41,91.55,37.71,2.4,Power Plants,Moderate
Brazil,Brasilia,2023,271,193.91,243.39,164.22,8.01,Industrial Pollution,Very Poor
USA,San Francisco,2025,127,65.27,104.81,67.13,5.78,Traffic Congestion,Poor
USA,Houston,2020,118,55.84,88.28,65.42,4.8,Vehicle Emissions,Poor
Brazil,Salvador,2023,269,144.39,201.3,104.89,8.04,Power Plants,Very Poor
UK,Manchester,2022,115,43.77,80.33,73.32,4.62,Traffic Congestion,Poor
Japan,Yokohama,2022,80,51.61,89.59,46.04,2.48,Industrial Pollution,Moderate
Brazil,Salvador,2022,156,100.05,154.04,94.75,6.2,Vehicle Emissions,Poor
Japan,Yokohama,2026,133,61.12,79.38,53.4,5.73,Burning Waste,Poor
Germany,Munich,2024,114,64.95,118.18,40.26,4.76,Burning Waste,Poor
India,Delhi,2026,478,240.17,325.3,189.13,14.75,Power Plants,Hazardous
Germany,Frankfurt,2026,97,56.09,99.13,61.38,2.43,Industrial Pollution,Moderate
Brazil,Brasilia,2023,156,83.71,146.84,54.01,6.17,Burning Waste,Poor
USA,Los Angeles,2023,92,47.48,84.43,46.55,4.09,Traffic Congestion,Moderate
UK,London,2021,80,50.74,68.08,52.33,2.82,Industrial Pollution,Moderate
France,Paris,2025,147,69.32,107.23,51.56,4.16,Power Plants,Poor
Japan,Osaka,2019,141,51.1,74.05,91.34,6.06,Traffic Congestion,Poor
Australia,Adelaide,2022,89,51.74,88.09,49.57,3.34,Traffic Congestion,Moderate
Japan,Nagoya,2018,72,32.23,57.92,31.45,2.18,Construction Dust,Moderate
UAE,Dubai,2019,335,221.09,331.26,203.57,10.22,Industrial Pollution,Hazardous
Canada,Ottawa,2018,45,22.49,53.0,9.4,1.52,Natural Dust,Good
Brazil,Fortaleza,2023,153,90.91,152.77,85.25,5.06,Industrial Pollution,Poor
Germany,Cologne,2019,128,59.15,96.19,42.61,3.39,Power Plants,Poor
Australia,Sydney,2021,14,5.53,15.61,14.21,0.63,Natural Dust,Good
USA,San Francisco,2022,48,18.61,52.64,18.11,0.95,Construction Dust,Good
USA,Chicago,2024,165,106.9,152.87,74.8,7.07,Burning Waste,Poor
USA,New York,2018,98,58.31,94.67,65.32,4.37,Vehicle Emissions,Moderate
France,Marseille,2022,140,87.79,126.2,63.03,3.79,Power Plants,Poor
UAE,Al Ain,2021,337,168.68,235.41,192.6,13.98,Vehicle Emissions,Hazardous
USA,Houston,2024,126,62.43,142.14,45.64,3.99,Construction Dust,Poor
USA,New York,2024,91,38.15,88.29,42.6,2.26,Natural Dust,Moderate
Brazil,Rio de Janeiro,2025,151,66.13,133.73,53.41,4.53,Construction Dust,Poor
UAE,Sharjah,2021,345,241.93,420.0,211.94,10.28,Industrial Pollution,Hazardous
UK,Birmingham,2021,51,29.49,54.98,25.84,1.82,Vehicle Emissions,Moderate
UK,Leeds,2022,89,41.52,68.95,43.5,4.1,Vehicle Emissions,Moderate
UAE,Ajman,2022,162,78.52,182.92,58.44,4.72,Construction Dust,Poor
Canada,Ottawa,2020,72,32.18,80.59,19.18,2.32,Natural Dust,Moderate
France,Marseille,2022,117,45.58,84.9,75.55,4.86,Vehicle Emissions,Poor
Australia,Sydney,2022,108,64.62,111.69,60.98,4.22,Traffic Congestion,Poor
Japan,Yokohama,2025,89,64.05,101.3,45.55,3.88,Burning Waste,Moderate
Brazil,Salvador,2024,157,101.28,227.66,57.87,4.69,Construction Dust,Poor
India,Mumbai,2025,360,200.29,345.37,208.81,10.4,Industrial Pollution,Hazardous
UK,Leeds,2022,121,73.41,119.84,80.54,3.62,Industrial Pollution,Poor
UAE,Abu Dhabi,2019,162,104.27,126.39,106.05,5.09,Industrial Pollution,Poor
Australia,Perth,2025,34,11.99,33.5,26.04,1.63,Vehicle Emissions,Good
UAE,Abu Dhabi,2026,206,133.01,270.86,79.69,6.27,Construction Dust,Very Poor
Japan,Yokohama,2019,100,64.73,96.39,55.72,2.99,Industrial Pollution,Moderate
Australia,Adelaide,2018,93,47.35,94.41,28.92,2.46,Construction Dust,Moderate
UK,London,2023,55,29.34,63.32,29.99,2.79,Vehicle Emissions,Moderate
USA,New York,2020,150,107.88,193.14,54.32,6.24,Burning Waste,Poor
UAE,Abu Dhabi,2018,291,151.18,214.5,116.86,11.76,Burning Waste,Very Poor
India,Kolkata,2023,396,257.62,347.73,149.87,17.02,Burning Waste,Hazardous
UK,London,2025,139,83.12,149.7,74.13,5.95,Vehicle Emissions,Poor
Germany,Hamburg,2026,138,80.59,137.91,81.83,4.17,Industrial Pollution,Poor
India,Chennai,2023,424,249.83,414.08,220.0,18.24,Vehicle Emissions,Hazardous
Canada,Vancouver,2023,68,27.39,64.07,20.64,1.57,Construction Dust,Moderate
France,Toulouse,2018,75,36.03,54.89,21.7,2.82,Burning Waste,Moderate
UK,Birmingham,2022,75,41.81,100.54,29.83,2.34,Construction Dust,Moderate
USA,Houston,2020,150,79.0,132.81,94.21,5.95,Vehicle Emissions,Poor
UK,Glasgow,2024,121,83.08,104.17,56.81,3.77,Power Plants,Poor
Japan,Nagoya,2026,178,131.09,224.51,63.29,5.09,Power Plants,Poor
Australia,Melbourne,2023,47,26.24,46.62,28.9,1.96,Traffic Congestion,Good
UAE,Sharjah,2022,272,176.28,288.73,163.35,11.4,Vehicle Emissions,Very Poor
Australia,Perth,2024,96,67.84,123.74,61.7,3.31,Industrial Pollution,Moderate
Australia,Perth,2026,5,2.94,23.38,2.0,0.52,Natural Dust,Good
UK,London,2022,60,33.17,64.64,25.94,1.75,Construction Dust,Moderate
Japan,Osaka,2022,149,85.66,120.56,83.25,6.13,Vehicle Emissions,Poor
UAE,Sharjah,2021,230,86.05,126.47,141.83,10.08,Vehicle Emissions,Very Poor
UAE,Al Ain,2022,189,98.74,159.32,66.34,5.8,Power Plants,Poor
Australia,Brisbane,2024,92,55.56,97.93,28.27,4.04,Burning Waste,Moderate
Canada,Ottawa,2020,87,54.2,102.12,43.42,4.07,Burning Waste,Moderate
France,Lyon,2021,122,72.72,136.75,53.35,3.98,Natural Dust,Poor
Japan,Kyoto,2026,111,57.47,90.88,63.19,3.51,Industrial Pollution,Poor
Canada,Vancouver,2019,53,26.96,50.93,33.81,1.91,Industrial Pollution,Moderate
Brazil,Sao Paulo,2025,91,40.55,89.98,28.81,2.26,Natural Dust,Moderate
Brazil,Brasilia,2026,153,70.06,129.76,92.01,4.94,Industrial Pollution,Poor
India,Kolkata,2022,375,192.44,262.14,219.47,15.66,Traffic Congestion,Hazardous
Australia,Perth,2024,36,13.17,23.84,12.86,1.82,Traffic Congestion,Good
UAE,Ajman,2023,189,117.74,171.53,67.93,5.24,Power Plants,Poor
UK,London,2018,65,27.83,51.14,42.6,2.75,Vehicle Emissions,Moderate
UAE,Sharjah,2025,316,221.89,313.07,185.45,9.62,Industrial Pollution,Hazardous
UAE,Al Ain,2026,177,87.04,145.03,73.02,5.37,Power Plants,Poor
USA,San Francisco,2018,154,73.36,105.69,100.45,5.97,Traffic Congestion,Poor
UAE,Abu Dhabi,2025,121,44.33,88.07,47.71,4.08,Construction Dust,Poor
India,Delhi,2020,267,151.14,197.33,156.12,11.46,Vehicle Emissions,Very Poor
Canada,Montreal,2023,53,21.28,58.73,30.06,1.47,Natural Dust,Moderate
Brazil,Salvador,2025,229,147.02,313.16,97.83,7.02,Construction Dust,Very Poor
UAE,Dubai,2022,339,221.16,334.78,131.17,14.56,Burning Waste,Hazardous
UAE,Dubai,2025,232,105.23,140.11,99.97,9.4,Burning Waste,Very Poor
USA,Chicago,2024,103,50.71,71.35,64.49,4.0,Vehicle Emissions,Poor
Japan,Osaka,2024,158,116.6,175.7,98.86,5.0,Industrial Pollution,Poor
UK,Birmingham,2024,134,73.48,108.7,78.35,5.64,Vehicle Emissions,Poor
Japan,Osaka,2026,125,75.84,131.05,71.57,3.94,Industrial Pollution,Poor
UK,Glasgow,2023,86,41.0,103.1,42.45,2.23,Natural Dust,Moderate
France,Toulouse,2023,94,47.44,65.01,41.75,3.8,Burning Waste,Moderate
UAE,Sharjah,2026,297,117.39,169.98,177.13,12.33,Traffic Congestion,Very Poor
USA,Los Angeles,2023,60,27.41,40.18,30.44,2.05,Traffic Congestion,Moderate
Germany,Frankfurt,2024,63,38.69,56.18,38.76,2.95,Vehicle Emissions,Moderate
Australia,Melbourne,2024,54,22.42,53.34,39.44,2.31,Vehicle Emissions,Moderate
Brazil,Sao Paulo,2019,204,104.63,185.69,90.61,6.32,Natural Dust,Very Poor
Canada,Ottawa,2025,89,55.83,75.73,58.43,3.69,Traffic Congestion,Moderate
Brazil,Fortaleza,2023,276,124.86,149.91,160.36,8.66,Industrial Pollution,Very Poor
Canada,Vancouver,2021,83,45.97,69.91,27.11,3.36,Burning Waste,Moderate
France,Lyon,2024,136,76.82,101.49,52.36,5.43,Burning Waste,Poor
Japan,Yokohama,2025,162,106.61,188.02,98.91,5.01,Industrial Pollution,Poor
India,Mumbai,2018,306,145.43,313.49,121.99,9.31,Natural Dust,Hazardous
UAE,Abu Dhabi,2021,218,127.29,159.39,122.82,6.55,Industrial Pollution,Very Poor
Germany,Hamburg,2021,46,16.58,44.1,17.8,1.1,Natural Dust,Good
Canada,Vancouver,2026,31,18.98,41.8,20.5,0.76,Industrial Pollution,Good
Australia,Sydney,2023,68,44.87,65.79,20.42,2.47,Burning Waste,Moderate
Canada,Calgary,2021,51,38.11,66.68,14.78,2.63,Burning Waste,Moderate
India,Delhi,2018,246,103.26,162.74,145.04,10.41,Vehicle Emissions,Very Poor
Brazil,Fortaleza,2025,243,123.0,151.67,145.03,9.72,Traffic Congestion,Very Poor
USA,Houston,2026,102,50.11,80.94,52.75,4.52,Traffic Congestion,Poor
Brazil,Salvador,2022,114,73.23,144.36,43.03,3.83,Natural Dust,Poor
France,Lyon,2022,162,119.59,149.36,67.18,6.34,Burning Waste,Poor
USA,Chicago,2025,74,34.36,91.27,26.77,2.36,Natural Dust,Moderate
Brazil,Salvador,2025,231,136.81,281.43,86.84,7.17,Natural Dust,Very Poor
Australia,Adelaide,2022,61,32.27,72.82,26.27,1.52,Construction Dust,Moderate
Brazil,Rio de Janeiro,2021,230,121.9,270.66,87.12,7.1,Construction Dust,Very Poor
Australia,Brisbane,2023,108,59.01,101.53,73.6,3.22,Industrial Pollution,Poor
Australia,Adelaide,2022,64,27.8,51.96,39.16,2.58,Traffic Congestion,Moderate
USA,San Francisco,2025,124,58.18,121.18,47.91,3.78,Natural Dust,Poor
Japan,Kyoto,2026,168,122.28,175.07,98.08,4.55,Industrial Pollution,Poor
UK,Birmingham,2018,73,53.57,99.13,42.16,1.86,Industrial Pollution,Moderate
UAE,Sharjah,2026,256,156.08,227.92,162.58,10.62,Vehicle Emissions,Very Poor
Canada,Ottawa,2026,68,37.51,82.75,17.66,2.53,Construction Dust,Moderate
UK,London,2023,122,53.82,130.0,50.97,3.85,Construction Dust,Poor
India,Bangalore,2022,353,259.64,380.94,138.53,15.02,Burning Waste,Hazardous
Japan,Nagoya,2024,98,40.34,85.08,48.97,2.81,Construction Dust,Moderate
UK,Manchester,2025,120,70.84,125.43,55.71,5.48,Burning Waste,Poor
USA,San Francisco,2026,98,53.62,104.08,41.09,3.1,Natural Dust,Moderate
India,Mumbai,2026,422,263.83,454.09,220.0,17.85,Vehicle Emissions,Hazardous
Germany,Cologne,2020,81,45.74,73.77,40.51,2.41,Industrial Pollution,Moderate
Japan,Yokohama,2025,118,87.72,116.31,80.25,3.98,Industrial Pollution,Poor
UK,London,2018,57,33.88,78.39,26.49,1.66,Natural Dust,Moderate
India,Chennai,2024,254,152.98,215.76,101.29,11.02,Burning Waste,Very Poor
Germany,Frankfurt,2022,107,48.6,92.54,47.78,2.88,Power Plants,Poor
Brazil,Brasilia,2019,113,50.47,100.98,46.38,3.58,Natural Dust,Poor
India,Chennai,2019,242,111.97,204.93,103.91,10.51,Burning Waste,Very Poor
USA,Houston,2025,41,22.27,50.38,14.67,1.41,Natural Dust,Good
Brazil,Fortaleza,2022,185,117.07,213.7,119.16,8.07,Vehicle Emissions,Poor
USA,Los Angeles,2020,105,57.57,113.89,36.42,3.41,Natural Dust,Poor
UK,Glasgow,2018,80,41.85,79.26,28.93,2.29,Natural Dust,Moderate
UAE,Al Ain,2024,280,142.24,323.56,116.69,8.34,Construction Dust,Very Poor
UK,London,2020,69,42.66,68.27,37.01,2.54,Burning Waste,Moderate
Brazil,Salvador,2024,90,56.96,92.56,46.45,4.08,Vehicle Emissions,Moderate
Australia,Adelaide,2019,79,43.99,86.19,47.36,3.63,Traffic Congestion,Moderate
UK,London,2021,66,37.92,70.92,36.43,1.61,Industrial Pollution,Moderate
Brazil,Fortaleza,2019,117,77.47,99.83,44.8,3.2,Power Plants,Poor
India,Mumbai,2021,472,236.64,339.16,181.33,14.32,Power Plants,Hazardous
France,Lyon,2022,145,87.13,128.46,66.3,6.27,Burning Waste,Poor
UK,Leeds,2025,63,23.74,59.51,16.06,1.73,Natural Dust,Moderate
India,Kolkata,2019,271,132.16,297.69,102.65,7.84,Construction Dust,Very Poor
USA,San Francisco,2020,78,34.46,83.31,32.55,2.48,Natural Dust,Moderate
Japan,Nagoya,2022,158,97.59,132.51,68.67,7.03,Burning Waste,Poor
UAE,Al Ain,2026,288,147.76,222.58,116.59,8.64,Power Plants,Very Poor
USA,San Francisco,2022,159,85.16,115.06,72.31,5.13,Power Plants,Poor
USA,Houston,2026,59,32.52,78.57,33.11,1.52,Natural Dust,Moderate
Brazil,Salvador,2021,188,110.85,214.76,83.01,5.94,Natural Dust,Poor
Australia,Adelaide,2022,16,6.2,23.37,2.0,0.62,Natural Dust,Good
Canada,Montreal,2026,29,20.11,49.65,14.56,0.99,Industrial Pollution,Good
France,Nice,2021,128,78.38,169.33,56.18,4.15,Construction Dust,Poor
Australia,Perth,2022,50,23.82,53.82,10.96,1.07,Construction Dust,Good
Brazil,Rio de Janeiro,2022,180,79.1,96.83,115.55,7.48,Traffic Congestion,Poor
UAE,Al Ain,2021,122,48.09,71.02,73.94,5.57,Traffic Congestion,Poor
France,Nice,2021,162,119.45,179.13,71.04,4.4,Power Plants,Poor
France,Nice,2022,101,55.93,89.86,42.21,3.45,Power Plants,Poor
Brazil,Fortaleza,2023,239,174.74,202.29,87.81,10.28,Burning Waste,Very Poor
Germany,Berlin,2024,103,65.33,112.98,37.94,3.99,Burning Waste,Poor
USA,San Francisco,2023,105,44.07,69.58,72.92,3.97,Traffic Congestion,Poor
Japan,Yokohama,2018,166,76.78,135.94,98.31,4.95,Industrial Pollution,Poor
Germany,Hamburg,2019,121,77.34,117.07,54.99,3.7,Power Plants,Poor
Brazil,Sao Paulo,2024,182,105.62,166.46,62.88,7.43,Burning Waste,Poor
Germany,Cologne,2020,118,74.73,137.45,65.8,3.79,Industrial Pollution,Poor
Japan,Kyoto,2019,106,40.74,90.37,48.23,3.41,Construction Dust,Poor
Brazil,Fortaleza,2023,221,143.48,224.71,79.65,6.6,Power Plants,Very Poor
Brazil,Salvador,2021,103,40.96,77.31,62.47,4.37,Vehicle Emissions,Poor
France,Marseille,2022,80,51.27,72.88,38.9,2.7,Power Plants,Moderate
Germany,Munich,2023,126,93.39,160.64,50.39,4.93,Burning Waste,Poor
India,Bangalore,2020,495,360.77,412.57,207.12,14.42,Power Plants,Hazardous
UK,Leeds,2018,96,37.95,63.63,54.23,4.31,Traffic Congestion,Moderate
Brazil,Sao Paulo,2020,104,63.67,110.27,69.14,3.99,Vehicle Emissions,Poor
Germany,Cologne,2020,55,34.2,70.54,34.73,2.14,Traffic Congestion,Moderate
Canada,Montreal,2023,97,49.02,65.1,43.86,2.67,Power Plants,Moderate
UAE,Sharjah,2021,283,120.89,144.28,164.78,12.14,Traffic Congestion,Very Poor
Canada,Montreal,2024,40,18.91,41.25,9.41,1.27,Burning Waste,Good
Germany,Munich,2019,100,52.6,102.24,43.97,2.92,Construction Dust,Moderate
USA,San Francisco,2021,44,26.85,46.69,21.87,1.49,Burning Waste,Good
USA,San Francisco,2025,46,30.44,47.56,29.41,1.78,Industrial Pollution,Good
Germany,Berlin,2023,120,72.44,115.96,63.85,4.63,Traffic Congestion,Poor
France,Lyon,2020,89,63.86,115.37,32.67,3.46,Burning Waste,Moderate
France,Lyon,2019,102,49.78,79.76,68.7,2.97,Industrial Pollution,Poor
Brazil,Salvador,2020,263,148.67,252.81,114.48,7.6,Power Plants,Very Poor
Japan,Yokohama,2018,117,71.93,118.5,64.48,3.57,Industrial Pollution,Poor
UK,Birmingham,2018,67,39.22,81.48,33.74,3.13,Traffic Congestion,Moderate
Brazil,Fortaleza,2019,165,73.34,139.64,65.69,5.0,Natural Dust,Poor
Canada,Toronto,2020,100,62.62,103.24,33.69,2.55,Power Plants,Moderate
UK,London,2026,64,47.62,93.32,42.67,1.46,Industrial Pollution,Moderate
Canada,Montreal,2025,58,37.06,73.1,25.69,2.31,Traffic Congestion,Moderate
France,Paris,2026,130,80.46,131.64,70.38,5.02,Traffic Congestion,Poor
Germany,Frankfurt,2024,81,40.35,66.88,31.19,3.87,Burning Waste,Moderate
Japan,Nagoya,2024,158,59.5,112.5,89.92,6.56,Vehicle Emissions,Poor
Canada,Toronto,2022,107,62.01,106.76,48.68,3.51,Power Plants,Poor
France,Lyon,2024,175,122.31,223.57,104.14,5.7,Industrial Pollution,Poor
Japan,Nagoya,2021,80,47.72,87.66,46.36,3.59,Vehicle Emissions,Moderate
Brazil,Fortaleza,2022,206,121.8,203.45,131.06,8.81,Traffic Congestion,Very Poor
Germany,Frankfurt,2018,141,100.32,153.84,78.92,4.45,Industrial Pollution,Poor
UAE,Sharjah,2021,251,121.5,177.08,148.72,7.17,Industrial Pollution,Very Poor
USA,Los Angeles,2020,66,39.25,64.37,37.76,1.96,Industrial Pollution,Moderate
Australia,Adelaide,2019,124,59.17,106.19,42.62,5.24,Burning Waste,Poor
Japan,Kyoto,2019,156,106.69,182.52,98.28,4.53,Industrial Pollution,Poor
UAE,Al Ain,2025,208,93.07,133.21,124.73,8.76,Vehicle Emissions,Very Poor
UAE,Dubai,2018,288,125.81,215.74,118.76,8.67,Natural Dust,Very Poor
Japan,Yokohama,2025,100,64.7,119.95,56.4,3.41,Industrial Pollution,Moderate
UAE,Ajman,2026,285,150.01,279.57,122.14,8.71,Natural Dust,Very Poor
Canada,Montreal,2023,80,37.63,100.05,24.43,2.23,Construction Dust,Moderate
UAE,Sharjah,2018,293,155.25,252.18,174.37,12.59,Traffic Congestion,Very Poor
France,Nice,2024,92,61.54,107.45,38.21,2.92,Power Plants,Moderate
UK,Manchester,2022,58,26.99,53.47,29.1,2.72,Burning Waste,Moderate
Canada,Ottawa,2026,45,28.48,63.11,13.18,0.95,Construction Dust,Good
UAE,Sharjah,2024,210,90.93,184.75,90.01,6.66,Construction Dust,Very Poor
Brazil,Fortaleza,2022,131,64.08,104.13,73.19,5.29,Vehicle Emissions,Poor
USA,Chicago,2019,77,28.0,59.68,50.79,3.47,Vehicle Emissions,Moderate
Germany,Munich,2021,103,50.26,106.36,48.07,3.5,Natural Dust,Poor
UAE,Al Ain,2019,153,63.56,117.65,66.5,4.59,Natural Dust,Poor
India,Mumbai,2026,319,207.84,317.62,121.32,13.45,Burning Waste,Hazardous
USA,Los Angeles,2019,161,104.63,177.59,73.41,6.86,Burning Waste,Poor
Brazil,Rio de Janeiro,2019,125,74.9,113.84,44.45,3.99,Power Plants,Poor
France,Marseille,2019,183,123.56,160.45,109.06,5.13,Industrial Pollution,Poor
UAE,Dubai,2018,251,157.71,281.06,106.29,10.87,Burning Waste,Very Poor
France,Toulouse,2026,172,90.26,120.66,63.41,7.52,Burning Waste,Poor
UAE,Dubai,2025,133,79.41,173.62,59.77,3.87,Natural Dust,Poor
Australia,Brisbane,2019,95,53.24,99.63,58.54,3.16,Industrial Pollution,Moderate
UK,Manchester,2019,135,70.26,90.84,56.36,3.68,Power Plants,Poor
France,Toulouse,2022,80,42.2,72.65,57.92,3.11,Traffic Congestion,Moderate
UK,Glasgow,2021,146,87.78,121.59,94.13,5.99,Traffic Congestion,Poor
USA,Houston,2019,168,71.47,101.02,101.84,6.67,Vehicle Emissions,Poor
Australia,Melbourne,2025,78,57.53,86.28,27.92,2.19,Power Plants,Moderate
Germany,Berlin,2025,134,93.56,121.47,82.2,4.36,Industrial Pollution,Poor
Canada,Montreal,2021,97,56.33,96.04,50.07,3.97,Vehicle Emissions,Moderate
UK,London,2021,133,72.64,132.41,86.1,5.98,Vehicle Emissions,Poor
Australia,Sydney,2026,25,9.51,23.81,17.29,0.76,Vehicle Emissions,Good
UK,London,2021,98,63.49,94.67,32.39,2.62,Power Plants,Moderate
Japan,Yokohama,2026,83,48.15,88.49,24.94,2.95,Natural Dust,Moderate
Brazil,Salvador,2020,278,159.44,228.01,158.13,7.94,Industrial Pollution,Very Poor
Germany,Frankfurt,2019,88,50.53,64.91,25.92,2.99,Power Plants,Moderate
Brazil,Brasilia,2025,246,136.37,209.95,105.92,7.86,Power Plants,Very Poor
UAE,Sharjah,2020,188,115.73,219.17,68.51,5.59,Construction Dust,Poor
UK,London,2019,88,59.27,76.92,26.59,3.76,Burning Waste,Moderate
UAE,Ajman,2025,194,120.83,169.64,121.72,7.83,Traffic Congestion,Poor
India,Mumbai,2025,273,185.77,286.96,100.85,7.86,Power Plants,Very Poor
UK,London,2022,116,63.43,142.27,40.41,3.79,Construction Dust,Poor
Australia,Adelaide,2026,34,21.75,50.76,16.59,1.01,Traffic Congestion,Good
Germany,Berlin,2023,92,34.77,74.44,41.51,2.82,Natural Dust,Moderate
UAE,Ajman,2022,133,76.03,136.45,59.58,4.23,Natural Dust,Poor
UK,Leeds,2020,88,44.46,84.18,47.76,2.28,Industrial Pollution,Moderate
India,Delhi,2024,422,258.72,433.5,174.69,12.33,Construction Dust,Hazardous
Brazil,Salvador,2026,123,68.06,118.9,45.96,4.05,Power Plants,Poor
Australia,Perth,2021,49,28.08,51.35,33.73,1.59,Industrial Pollution,Good
Japan,Osaka,2024,101,44.04,86.01,44.78,2.86,Construction Dust,Poor
UK,London,2020,101,70.33,98.53,33.83,3.41,Power Plants,Poor
Japan,Yokohama,2019,132,96.75,115.91,77.29,4.28,Industrial Pollution,Poor
USA,Chicago,2018,122,47.54,58.7,73.47,4.63,Traffic Congestion,Poor
Germany,Hamburg,2023,62,39.64,55.73,40.32,2.21,Industrial Pollution,Moderate
UK,Birmingham,2022,104,62.67,83.53,61.47,4.72,Traffic Congestion,Poor
France,Toulouse,2019,136,81.9,130.98,51.38,5.4,Burning Waste,Poor
India,Delhi,2020,197,99.08,220.52,83.45,6.03,Natural Dust,Poor
UAE,Dubai,2026,238,83.85,109.86,150.47,9.99,Traffic Congestion,Very Poor
France,Nice,2020,114,84.76,150.01,45.24,3.35,Power Plants,Poor
USA,New York,2024,124,77.07,117.81,51.59,5.68,Burning Waste,Poor
Germany,Cologne,2018,60,40.02,64.34,28.3,1.38,Industrial Pollution,Moderate
Brazil,Brasilia,2024,224,101.03,145.09,140.76,6.66,Industrial Pollution,Very Poor
Australia,Melbourne,2026,28,10.94,35.38,11.54,1.14,Construction Dust,Good
Japan,Kyoto,2025,125,72.2,99.57,47.3,5.58,Burning Waste,Poor
USA,San Francisco,2024,87,45.27,75.36,46.58,4.12,Vehicle Emissions,Moderate
UAE,Ajman,2025,273,181.92,245.49,115.71,8.23,Power Plants,Very Poor
Australia,Perth,2021,73,45.86,89.94,31.38,2.07,Natural Dust,Moderate
Brazil,Brasilia,2019,135,72.56,89.47,81.89,5.4,Traffic Congestion,Poor
UAE,Ajman,2026,146,99.19,150.88,48.93,6.42,Burning Waste,Poor
India,Chennai,2020,363,208.07,361.77,210.77,10.85,Industrial Pollution,Hazardous
Japan,Osaka,2021,125,45.03,94.19,42.51,3.67,Construction Dust,Poor
France,Paris,2024,111,67.48,101.58,45.52,3.09,Power Plants,Poor
UK,Leeds,2019,50,20.03,51.54,10.66,1.56,Natural Dust,Good
USA,San Francisco,2025,140,71.35,115.5,88.86,5.63,Traffic Congestion,Poor
UK,London,2025,110,70.85,123.94,34.3,3.05,Power Plants,Poor
Australia,Sydney,2022,82,43.48,109.31,32.78,2.89,Construction Dust,Moderate
UK,Birmingham,2026,88,41.92,65.33,57.7,2.77,Industrial Pollution,Moderate
France,Marseille,2025,161,61.83,89.32,105.49,6.45,Traffic Congestion,Poor
Canada,Vancouver,2018,83,30.68,77.65,38.66,2.9,Natural Dust,Moderate
Australia,Perth,2026,50,21.13,37.42,26.86,2.13,Vehicle Emissions,Good
Japan,Nagoya,2022,113,63.74,135.6,52.73,3.25,Construction Dust,Poor
UAE,Dubai,2026,309,139.45,234.4,188.61,12.56,Vehicle Emissions,Hazardous
Japan,Nagoya,2026,162,86.44,117.12,68.72,7.23,Burning Waste,Poor
UK,Leeds,2020,107,78.81,145.7,39.27,3.67,Power Plants,Poor
Germany,Munich,2025,55,35.36,89.3,26.68,1.45,Natural Dust,Moderate
Australia,Melbourne,2024,84,41.67,69.87,54.01,2.88,Industrial Pollution,Moderate
UAE,Al Ain,2024,239,110.79,181.7,145.88,9.76,Vehicle Emissions,Very Poor
Brazil,Rio de Janeiro,2019,225,113.19,180.93,136.98,6.81,Industrial Pollution,Very Poor
India,Kolkata,2019,225,160.4,238.11,97.26,9.74,Burning Waste,Very Poor
Japan,Tokyo,2019,93,41.29,78.05,49.48,3.45,Vehicle Emissions,Moderate
Japan,Nagoya,2019,155,82.29,110.03,84.78,4.87,Industrial Pollution,Poor
Australia,Sydney,2021,77,40.09,65.92,55.25,2.17,Industrial Pollution,Moderate
Germany,Hamburg,2024,92,42.45,71.17,63.4,4.06,Traffic Congestion,Moderate
UK,Birmingham,2019,117,55.71,86.54,39.97,4.56,Burning Waste,Poor
UK,Manchester,2022,114,72.64,134.88,43.22,3.3,Construction Dust,Poor
Australia,Perth,2024,64,30.44,62.68,21.25,1.85,Natural Dust,Moderate
Japan,Kyoto,2026,107,54.27,86.92,41.75,4.44,Burning Waste,Poor
UAE,Dubai,2025,134,47.75,77.0,79.32,5.26,Vehicle Emissions,Poor
India,Chennai,2026,323,182.19,316.61,201.98,13.18,Vehicle Emissions,Hazardous
Australia,Melbourne,2024,90,59.48,86.34,33.72,2.98,Power Plants,Moderate
UAE,Ajman,2020,192,99.04,161.33,110.8,5.79,Industrial Pollution,Poor
UAE,Abu Dhabi,2018,112,71.19,144.92,42.07,3.01,Natural Dust,Poor
Brazil,Brasilia,2024,137,64.14,111.18,75.82,5.42,Vehicle Emissions,Poor
France,Lyon,2023,76,45.06,106.48,34.07,2.65,Construction Dust,Moderate
Canada,Ottawa,2019,67,23.83,60.13,16.86,2.31,Construction Dust,Moderate
India,Bangalore,2018,420,219.72,287.37,160.58,17.4,Burning Waste,Hazardous
USA,San Francisco,2021,155,92.77,140.14,102.02,6.92,Vehicle Emissions,Poor
Germany,Hamburg,2021,90,48.97,107.44,27.45,3.11,Natural Dust,Moderate
Canada,Ottawa,2023,26,11.17,41.42,17.81,1.28,Natural Dust,Good
